model,language,category,emotion,condition,mean_cosine_similarity_top_10,mean_projection_top_10,category_retention_at_10,unique_candidates
bielik_1_5b_v3,en,place,joy,identity,0.9423588514328003,0.027125679445452956,1.0,10
bielik_1_5b_v3,en,place,joy,random,0.6844475388526916,0.028261148009914878,1.0,10
bielik_1_5b_v3,en,place,joy,shuffled_emotion,0.9062176883220673,0.04317553836153816,1.0,15
bielik_1_5b_v3,en,place,sadness,emotion,0.9113006979227066,0.0331634082831442,1.0,15
bielik_1_5b_v3,en,place,sadness,identity,0.9423588514328003,0.020855783578008387,1.0,10
bielik_1_5b_v3,en,place,sadness,random,0.6684919118881225,0.02126818980323148,1.0,10
bielik_1_5b_v3,en,place,sadness,shuffled_emotion,0.8979165688157081,0.03444309161277485,1.0,15
bielik_1_5b_v3,en,situation,anger,emotion,0.905916590988636,0.03425572893465866,1.0,17
bielik_1_5b_v3,en,situation,anger,identity,0.9415907382965087,0.0061964699358213705,1.0,10
bielik_1_5b_v3,en,situation,anger,random,0.6683428049087524,0.0032990482694003633,1.0,10
bielik_1_5b_v3,en,situation,anger,shuffled_emotion,0.9097649157047272,0.024797086854232465,1.0,16
bielik_1_5b_v3,en,situation,disgust,emotion,0.8972271084785461,0.04022714582388286,1.0,17
bielik_1_5b_v3,en,situation,disgust,identity,0.9415907382965087,0.007543414906831453,1.0,10
bielik_1_5b_v3,en,situation,disgust,random,0.6704176843166352,0.0015797882806509803,1.0,10
bielik_1_5b_v3,en,situation,disgust,shuffled_emotion,0.903209263086319,0.038042467477498544,1.0,18
bielik_1_5b_v3,en,situation,joy,emotion,0.903209263086319,0.040452410676516566,1.0,18
bielik_1_5b_v3,en,situation,joy,identity,0.9415907382965087,0.006637709762435405,1.0,10
bielik_1_5b_v3,en,situation,joy,random,0.6695386946201325,0.008256453729700295,1.0,10
bielik_1_5b_v3,en,situation,joy,shuffled_emotion,0.905916590988636,0.035996531520504485,1.0,17
bielik_1_5b_v3,en,situation,sadness,emotion,0.9097649157047272,0.02727722615236413,1.0,16
bielik_1_5b_v3,en,situation,sadness,identity,0.9415907382965087,0.008127813681494431,1.0,10
bielik_1_5b_v3,en,situation,sadness,random,0.6636162579059601,0.008258900407236057,1.0,10
bielik_1_5b_v3,en,situation,sadness,shuffled_emotion,0.8972271084785461,0.02890449658152644,1.0,17
bielik_1_5b_v3,pl,food,anger,emotion,0.9017824649810791,0.01997597914596552,1.0,15
bielik_1_5b_v3,pl,food,anger,identity,0.9523299634456635,0.007326778036076564,1.0,10
bielik_1_5b_v3,pl,food,anger,random,0.6795386850833893,0.0021560647001024327,1.0,10
bielik_1_5b_v3,pl,food,anger,shuffled_emotion,0.9051246792078018,0.01814466475916559,1.0,15
