model,language,category,emotion,condition,mean_cosine_similarity_top_10,mean_projection_top_10,category_retention_at_10,unique_candidates
bielik_1_5b_v3,en,place,joy,identity,0.9423588514328003,0.04419874036684629,1.0,10
bielik_1_5b_v3,en,place,joy,random,0.6844475388526916,0.04612907068803903,1.0,10
bielik_1_5b_v3,en,place,joy,shuffled_emotion,0.9098590970039367,0.07272574044764037,1.0,10
bielik_1_5b_v3,en,place,sadness,emotion,0.911469429731369,0.06876979563385244,1.0,10
bielik_1_5b_v3,en,place,sadness,identity,0.9423588514328003,0.039484463445842236,1.0,10
bielik_1_5b_v3,en,place,sadness,random,0.6684919118881225,0.04167919661849733,1.0,10
bielik_1_5b_v3,en,place,sadness,shuffled_emotion,0.9061226844787598,0.06569391582161184,1.0,10
bielik_1_5b_v3,en,situation,anger,emotion,0.9097585439682007,0.06387649560347196,1.0,10
bielik_1_5b_v3,en,situation,anger,identity,0.9415907382965087,0.02374277939088641,1.0,10
bielik_1_5b_v3,en,situation,anger,random,0.6683428049087524,0.01803488153964278,1.0,10
bielik_1_5b_v3,en,situation,anger,shuffled_emotion,0.9115206480026246,0.06515017524361608,1.0,10
bielik_1_5b_v3,en,situation,disgust,emotion,0.9072894871234893,0.07162663820199663,1.0,10
bielik_1_5b_v3,en,situation,disgust,identity,0.9415907382965087,0.025543742580339292,1.0,10
bielik_1_5b_v3,en,situation,disgust,random,0.6704176843166352,0.015333715965971339,1.0,10
bielik_1_5b_v3,en,situation,disgust,shuffled_emotion,0.9143047511577607,0.0677052933722734,1.0,10
bielik_1_5b_v3,en,situation,joy,emotion,0.9143047511577607,0.07310726605355736,1.0,10
bielik_1_5b_v3,en,situation,joy,identity,0.9415907382965087,0.02629352258518337,1.0,10
bielik_1_5b_v3,en,situation,joy,random,0.6695386946201325,0.029972254205495107,1.0,10
bielik_1_5b_v3,en,situation,joy,shuffled_emotion,0.9097585439682007,0.06971771428361531,1.0,10
bielik_1_5b_v3,en,situation,sadness,emotion,0.9115206480026246,0.06671398449689145,1.0,10
bielik_1_5b_v3,en,situation,sadness,identity,0.9415907382965087,0.02443939247168598,1.0,10
bielik_1_5b_v3,en,situation,sadness,random,0.6636162579059601,0.0278154818806797,1.0,10
bielik_1_5b_v3,en,situation,sadness,shuffled_emotion,0.9072894871234893,0.06666576913557942,1.0,10
bielik_1_5b_v3,pl,food,anger,emotion,0.8973159074783326,0.04538974892348045,1.0,10
bielik_1_5b_v3,pl,food,anger,identity,0.9523299634456635,0.024275569454766787,1.0,10
bielik_1_5b_v3,pl,food,anger,random,0.6795386850833893,0.01896164598874746,1.0,10
bielik_1_5b_v3,pl,food,anger,shuffled_emotion,0.8960593819618226,0.04538974892348045,1.0,10
bielik_1_5b_v3,pl,food,disgust,emotion,0.8941090822219848,0.06133869849145408,1.0,10
bielik_1_5b_v3,pl,food,disgust,identity,0.9523299634456635,0.031043676729313997,1.0,10
bielik_1_5b_v3,pl,food,disgust,random,0.6685010671615601,0.03307800560723988,1.0,10
bielik_1_5b_v3,pl,food,disgust,shuffled_emotion,0.8976470053195953,0.05704725868999953,1.0,10
bielik_1_5b_v3,pl,food,joy,emotion,0.8976470053195953,0.04441241472959513,1.0,10
bielik_1_5b_v3,pl,food,joy,identity,0.9523299634456635,0.02315801521763203,1.0,10
bielik_1_5b_v3,pl,food,joy,random,0.6815567195415497,0.02053036552388219,1.0,10
bielik_1_5b_v3,pl,food,joy,shuffled_emotion,0.8973159074783326,0.04441241472959513,1.0,10
bielik_1_5b_v3,pl,food,sadness,emotion,0.8960593819618226,0.04646412692964072,1.0,10
bielik_1_5b_v3,pl,food,sadness,identity,0.9523299634456635,0.023785587423481008,1.0,10
bielik_1_5b_v3,pl,food,sadness,random,0.6676930606365203,0.02097711276728656,1.0,10
bielik_1_5b_v3,pl,food,sadness,shuffled_emotion,0.8941090822219848,0.05016283951699729,1.0,10
bielik_1_5b_v3,pl,object,anger,emotion,0.8759347319602966,0.06645743367262179,1.0,10
bielik_1_5b_v3,pl,object,anger,identity,0.9346727013587952,0.0042873965576291,1.0,10
bielik_1_5b_v3,pl,object,anger,random,0.642874276638031,-0.0016915996093302996,1.0,10
bielik_1_5b_v3,pl,object,anger,shuffled_emotion,0.8736501812934876,0.07499112025834616,1.0,10
bielik_1_5b_v3,pl,object,disgust,emotion,0.8696280181407928,0.08517060689628121,1.0,10
bielik_1_5b_v3,pl,object,disgust,identity,0.9346727013587952,-0.0032016340643167404,1.0,10
bielik_1_5b_v3,pl,object,disgust,random,0.6781001925468445,0.00036010872572661936,1.0,10
bielik_1_5b_v3,pl,object,disgust,shuffled_emotion,0.8760463118553161,0.0667595173232257,1.0,10
bielik_1_5b_v3,pl,object,joy,emotion,0.8760463118553161,0.06521473177708684,1.0,10
bielik_1_5b_v3,pl,object,joy,identity,0.9346727013587952,0.0024613135028630695,1.0,10
bielik_1_5b_v3,pl,object,joy,random,0.672420758008957,0.0005039379466325293,1.0,10
bielik_1_5b_v3,pl,object,joy,shuffled_emotion,0.8759347319602966,0.06521473177708684,1.0,10
bielik_1_5b_v3,pl,object,sadness,emotion,0.8736501812934876,0.0735629674978554,1.0,10
bielik_1_5b_v3,pl,object,sadness,identity,0.9346727013587952,0.00108099323697389,1.0,10
bielik_1_5b_v3,pl,object,sadness,random,0.668058305978775,0.004437594558112319,1.0,10
bielik_1_5b_v3,pl,object,sadness,shuffled_emotion,0.8696280181407928,0.07989665130153296,1.0,10
bielik_1_5b_v3,pl,person,anger,emotion,0.8838071346282959,0.05628813719376916,1.0,10
bielik_1_5b_v3,pl,person,anger,identity,0.9412839829921722,-0.0015888466499746003,1.0,10
bielik_1_5b_v3,pl,person,anger,random,0.6718783140182495,0.004160998109728082,1.0,10
bielik_1_5b_v3,pl,person,anger,shuffled_emotion,0.883586847782135,0.0660807254724204,1.0,10
bielik_1_5b_v3,pl,person,disgust,emotion,0.8793419897556305,0.08035647596698249,1.0,10
bielik_1_5b_v3,pl,person,disgust,identity,0.9412839829921722,0.00231525439303367,1.0,10
bielik_1_5b_v3,pl,person,disgust,random,0.6624305963516235,0.00936182129662481,1.0,10
bielik_1_5b_v3,pl,person,disgust,shuffled_emotion,0.8837311446666718,0.0636364448582753,1.0,10
bielik_1_5b_v3,pl,person,joy,emotion,0.8837311446666718,0.05444127982482309,1.0,10
bielik_1_5b_v3,pl,person,joy,identity,0.9412839829921722,-0.0028920188546180995,1.0,10
bielik_1_5b_v3,pl,person,joy,random,0.6602570831775665,-0.007264739088714139,1.0,10
bielik_1_5b_v3,pl,person,joy,shuffled_emotion,0.8838071346282959,0.05444127982482309,1.0,10
