model,pooling_strategy,mean_cosine_similarity_top_10,mean_projection_top_10,category_retention_at_10,unique_candidates,delta_emotion_minus_identity,delta_emotion_minus_random,delta_emotion_minus_shuffled,final_rank_score
gemini,,0.522103496491909,0.06952415133807029,1.0,280,0.046337823642534186,0.04540624294333003,0.027582064722858676,0.18885028264679318
qwen3_embedding_8b,,0.5062945365409056,0.07376559201278722,1.0,241,0.04354572287644258,0.04312700858417276,0.01992762954595188,0.18036595301935443
bielik_1_5b_v3,mean,0.8164640925327937,0.07499173481754645,1.0,175,0.05190302826231343,0.04935931914718819,0.0013645892140145097,0.17761867144106258
mmlw_roberta_large,,0.9124765861034393,0.021113255374560425,1.0,186,0.012520618828323971,0.011941287352625894,0.0037896184665927035,0.049364780022103
