model,pooling_strategy,mean_cosine_similarity_top_10,mean_projection_top_10,category_retention_at_10,unique_candidates,delta_emotion_minus_identity,delta_emotion_minus_random,delta_emotion_minus_shuffled,final_rank_score
qwen3_embedding_8b,,0.5177416079243025,0.07723567512812828,1.0,280,0.04323914268810767,0.042736146026678995,0.022805208593830076,0.186016172436745
gemini,,0.509643925478061,0.06537101387055975,1.0,319,0.043096022266836356,0.04233021690558718,0.027364809231366957,0.17816206227435025
bielik_1_5b_v3,mean,0.8163001565635204,0.04461865740585681,1.0,273,0.03322984114037049,0.03231239085725972,0.005914197515812698,0.11607508691929971
mmlw_roberta_large,,0.9124022904535135,0.021995932158897613,1.0,216,0.013947335163150748,0.013093244363359789,0.007146463026874695,0.05618297471228285
