model,language,category,emotion,condition,mean_cosine_similarity_top_10,mean_projection_top_10,category_retention_at_10,unique_candidates
bielik_1_5b_v3,en,object,fear,emotion,0.8877929985523224,0.042795603466220154,1.0,19
bielik_1_5b_v3,en,object,fear,identity,0.9272862732410431,0.00813735912088304,1.0,10
bielik_1_5b_v3,en,object,fear,random,0.6550146222114563,0.011873425450175982,1.0,10
bielik_1_5b_v3,en,object,fear,shuffled_emotion,0.8956528455018997,0.03486999524757264,1.0,15
bielik_1_5b_v3,en,object,joy,emotion,0.8844579845666886,0.047706829849630546,1.0,18
bielik_1_5b_v3,en,object,joy,identity,0.9272862732410431,0.013114176457747812,1.0,10
bielik_1_5b_v3,en,object,joy,random,0.6534765422344208,0.014666811819188292,1.0,10
bielik_1_5b_v3,en,object,joy,shuffled_emotion,0.886739993095398,0.03892149238381531,1.0,17
bielik_1_5b_v3,en,object,love,emotion,0.8984785556793213,0.060222153458744244,1.0,18
bielik_1_5b_v3,en,object,love,identity,0.9272862732410431,0.021126817096956053,1.0,10
bielik_1_5b_v3,en,object,love,random,0.6577679693698884,0.021326914476230717,1.0,10
bielik_1_5b_v3,en,object,love,shuffled_emotion,0.8783338248729706,0.05209787711501117,1.0,19
bielik_1_5b_v3,en,object,negative,emotion,0.8819832742214203,0.016969719156622882,1.0,17
bielik_1_5b_v3,en,object,negative,identity,0.9272862732410431,-0.014078966178931274,1.0,10
bielik_1_5b_v3,en,object,negative,random,0.6479299604892731,-0.004801288642920546,1.0,10
bielik_1_5b_v3,en,object,negative,shuffled_emotion,0.8964249521493912,0.009852845594286919,1.0,14
bielik_1_5b_v3,en,object,positive,emotion,0.8783338248729706,0.013150560716167095,1.0,19
bielik_1_5b_v3,en,object,positive,identity,0.9272862732410431,-0.013471449702046796,1.0,10
bielik_1_5b_v3,en,object,positive,random,0.6522329747676849,-0.010133379907347246,1.0,10
bielik_1_5b_v3,en,object,positive,shuffled_emotion,0.8819832742214203,0.009998880652710795,1.0,17
bielik_1_5b_v3,en,object,sadness,emotion,0.8964249521493912,0.049028731789439874,1.0,14
