model,language,category,emotion,emotion_strategy,neutral_strategy,projection_emotion,projection_identity,projection_random,projection_shuffled_emotion,delta_emotion_minus_identity,delta_emotion_minus_random,delta_emotion_minus_shuffled
bielik_1_5b_v3,en,food,amusement,centroid_phrases,neutral_centroid,0.050948565825819934,0.021974101103842243,0.02424001507461069,0.05094856582581993,0.02897446472197769,0.026708550751209245,6.938893903907228e-18
bielik_1_5b_v3,en,food,amusement,single_word,neutral_centroid,0.02141555133275682,0.00986457401886579,0.0093082630075514,0.018144442280754392,0.01155097731389103,0.01210728832520542,0.003271109052002428
bielik_1_5b_v3,en,food,anger,centroid_phrases,neutral_centroid,0.03152397060766812,0.00964207462966441,0.01560277072712776,0.0333046561107039,0.02188189597800371,0.015921199880540363,-0.0017806855030357768
bielik_1_5b_v3,en,food,anger,single_word,neutral_centroid,-0.00318719497881829,-0.01726758950389918,-0.022042005322873547,-0.00809562145732342,0.01408039452508089,0.018854810344055256,0.00490842647850513
bielik_1_5b_v3,en,food,disgust,centroid_phrases,neutral_centroid,0.03498175460845228,0.009556601522490379,0.02108450634405014,0.035498210787773085,0.0254251530859619,0.01389724826440214,-0.0005164561793208067
bielik_1_5b_v3,en,food,disgust,single_word,neutral_centroid,-0.0010030741337686798,-0.011245125764980879,-0.014124389225617009,-0.00026552798226475976,0.010242051631212199,0.013121315091848329,-0.00073754615150392
bielik_1_5b_v3,en,food,excitement,centroid_phrases,neutral_centroid,0.03741061091423029,0.00915231984108684,0.016127086058258973,0.03741061091423029,0.028258291073143454,0.02128352485597132,0.0
bielik_1_5b_v3,en,food,excitement,single_word,neutral_centroid,0.006295993365347368,-0.006449235044419741,-0.0026198659557849,0.0008531284984201299,0.01274522840976711,0.008915859321132268,0.005442864866927239
bielik_1_5b_v3,en,food,fear,centroid_phrases,neutral_centroid,0.04892122633755202,0.018334765685722197,0.018334765685722197,0.04892122633755202,0.030586460651829822,0.030586460651829822,0.0
bielik_1_5b_v3,en,food,fear,single_word,neutral_centroid,-0.029793995758518536,-0.045045080780982925,-0.045045080780982925,-0.03759622494690118,0.015251085022464389,0.015251085022464389,0.007802229188382644
bielik_1_5b_v3,en,food,joy,centroid_phrases,neutral_centroid,0.04655105136334891,0.016588531620800477,0.03396061295643445,0.042479032836854405,0.029962519742548432,0.012590438406914463,0.004072018526494504
bielik_1_5b_v3,en,food,joy,single_word,neutral_centroid,-0.02190347765572366,-0.04552668239921327,-0.03770830272696909,-0.02713212897069748,0.023623204743489612,0.015804825071245428,0.005228651314973819
bielik_1_5b_v3,en,food,love,centroid_phrases,neutral_centroid,0.04727779477834697,0.020457005221396662,0.0223345663398504,0.04727779477834697,0.026820789556950306,0.024943228438496567,0.0
bielik_1_5b_v3,en,food,love,single_word,neutral_centroid,-0.02583302838029334,-0.04479096803115676,-0.04364335136488075,-0.03823222900973628,0.01895793965086342,0.017810322984587408,0.012399200629442941
bielik_1_5b_v3,en,food,negative,centroid_phrases,neutral_centroid,0.04306379370391365,0.016054712980985632,0.02280233576893803,0.04306379370391365,0.02700908072292802,0.02026145793497562,0.0
bielik_1_5b_v3,en,food,negative,single_word,neutral_centroid,0.02071829754859206,0.01597187854349612,0.0157458946574479,0.012407082784920889,0.004746419005095939,0.004972402891144159,0.008311214763671172
bielik_1_5b_v3,en,food,positive,centroid_phrases,neutral_centroid,0.03935219980776306,0.01450008573010563,0.01472195461392401,0.03935219980776306,0.02485211407765743,0.02463024519383905,0.0
bielik_1_5b_v3,en,food,positive,single_word,neutral_centroid,-0.00907277646474538,-0.01291590337641534,-0.013762702327221609,-0.012628484470769741,0.003843126911669959,0.004689925862476229,0.003555708006024361
bielik_1_5b_v3,en,food,sadness,centroid_phrases,neutral_centroid,0.04027973785996434,0.014124665316194298,0.02052851822227238,0.03674152698367831,0.02615507254377004,0.01975121963769196,0.00353821087628603
bielik_1_5b_v3,en,food,sadness,single_word,neutral_centroid,0.014171223016455731,0.00215351362712679,0.0029817633330821796,0.011518403980880939,0.012017709389328942,0.011189459683373551,0.002652819035574792
bielik_1_5b_v3,en,object,amusement,centroid_phrases,neutral_centroid,0.0848583728075027,0.02429019641131161,0.02600691020488738,0.07928099296987053,0.060568176396191095,0.058851462602615326,0.005577379837632179
bielik_1_5b_v3,en,object,amusement,single_word,neutral_centroid,0.02444221554324027,0.01685655317269262,0.01820221147499975,0.02187835751101371,0.007585662370547648,0.006240004068240518,0.002563858032226557
bielik_1_5b_v3,en,object,anger,centroid_phrases,neutral_centroid,0.056318178772926275,0.019325610576197482,0.03055225978605447,0.06182820871472354,0.03699256819672879,0.025765918986871805,-0.005510029941797265
