model,language,category,emotion,neutral_strategy,strategy_a,strategy_b,jaccard_top_10
bielik_1_5b_v3,zh,situation,anger,neutral_centroid,centroid_phrases,single_word,0.3333333333333333
bielik_1_5b_v3,zh,situation,disgust,neutral_centroid,centroid_phrases,single_word,0.42857142857142855
bielik_1_5b_v3,zh,situation,joy,neutral_centroid,centroid_phrases,single_word,0.17647058823529413
bielik_1_5b_v3,zh,situation,sadness,neutral_centroid,centroid_phrases,single_word,0.3333333333333333
gemini,en,food,anger,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
gemini,en,food,disgust,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
gemini,en,food,joy,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
gemini,en,food,sadness,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
gemini,en,object,anger,neutral_centroid,centroid_phrases,single_word,0.5384615384615384
gemini,en,object,disgust,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
gemini,en,object,joy,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
gemini,en,object,sadness,neutral_centroid,centroid_phrases,single_word,0.5384615384615384
gemini,en,person,anger,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
gemini,en,person,disgust,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
gemini,en,person,joy,neutral_centroid,centroid_phrases,single_word,1.0
gemini,en,person,sadness,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
gemini,en,place,anger,neutral_centroid,centroid_phrases,single_word,0.42857142857142855
gemini,en,place,disgust,neutral_centroid,centroid_phrases,single_word,0.5384615384615384
gemini,en,place,joy,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
gemini,en,place,sadness,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
gemini,en,situation,anger,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
gemini,en,situation,disgust,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
gemini,en,situation,joy,neutral_centroid,centroid_phrases,single_word,0.42857142857142855
gemini,en,situation,sadness,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
gemini,pl,food,anger,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
gemini,pl,food,disgust,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
gemini,pl,food,joy,neutral_centroid,centroid_phrases,single_word,1.0
gemini,pl,food,sadness,neutral_centroid,centroid_phrases,single_word,0.5384615384615384
gemini,pl,object,anger,neutral_centroid,centroid_phrases,single_word,0.42857142857142855
gemini,pl,object,disgust,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
gemini,pl,object,joy,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
gemini,pl,object,sadness,neutral_centroid,centroid_phrases,single_word,0.42857142857142855
gemini,pl,person,anger,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
gemini,pl,person,disgust,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
gemini,pl,person,joy,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
gemini,pl,person,sadness,neutral_centroid,centroid_phrases,single_word,0.42857142857142855
gemini,pl,place,anger,neutral_centroid,centroid_phrases,single_word,0.42857142857142855
gemini,pl,place,disgust,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
gemini,pl,place,joy,neutral_centroid,centroid_phrases,single_word,0.5384615384615384
gemini,pl,place,sadness,neutral_centroid,centroid_phrases,single_word,0.42857142857142855
gemini,pl,situation,anger,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
gemini,pl,situation,disgust,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
gemini,pl,situation,joy,neutral_centroid,centroid_phrases,single_word,0.42857142857142855
gemini,pl,situation,sadness,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
gemini,zh,food,anger,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
gemini,zh,food,disgust,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
gemini,zh,food,joy,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
gemini,zh,food,sadness,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
gemini,zh,object,anger,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
gemini,zh,object,disgust,neutral_centroid,centroid_phrases,single_word,1.0
gemini,zh,object,joy,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
gemini,zh,object,sadness,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
gemini,zh,person,anger,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
gemini,zh,person,disgust,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
gemini,zh,person,joy,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
gemini,zh,person,sadness,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
gemini,zh,place,anger,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
gemini,zh,place,disgust,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
gemini,zh,place,joy,neutral_centroid,centroid_phrases,single_word,0.25
gemini,zh,place,sadness,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
gemini,zh,situation,anger,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
gemini,zh,situation,disgust,neutral_centroid,centroid_phrases,single_word,0.5384615384615384
gemini,zh,situation,joy,neutral_centroid,centroid_phrases,single_word,0.42857142857142855
gemini,zh,situation,sadness,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
mmlw_roberta_large,en,food,anger,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
mmlw_roberta_large,en,food,disgust,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
mmlw_roberta_large,en,food,joy,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
mmlw_roberta_large,en,food,sadness,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
mmlw_roberta_large,en,object,anger,neutral_centroid,centroid_phrases,single_word,0.5384615384615384
mmlw_roberta_large,en,object,disgust,neutral_centroid,centroid_phrases,single_word,0.5384615384615384
mmlw_roberta_large,en,object,joy,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
mmlw_roberta_large,en,object,sadness,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
mmlw_roberta_large,en,person,anger,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
mmlw_roberta_large,en,person,disgust,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
